Request Rate,Payload Size,Unique IPs,Label
1295,3781,44,1
456,9735,40,1
1486,4296,3,1
1751,672,13,1
1276,9624,19,1
1017,4853,34,1
1726,7182,32,1
296,4102,49,1
1749,5729,16,1
720,8517,36,1
1773,4300,18,1
338,2097,14,0
879,9063,30,0
1077,7522,2,1
792,4624,13,0
1946,8725,27,1
217,3507,17,0
764,6831,31,1
188,7895,15,0
380,9157,20,0
493,2893,5,0
1065,7434,7,1
1181,3011,18,1
15,8052,11,0
1837,2515,32,1
65,350,27,0
1881,5051,26,1
1863,8198,37,1
521,5389,45,1
1368,8202,28,1
1153,7357,2,1
648,5665,20,0
1496,6537,4,1
1087,9210,13,1
1163,1273,24,1
1523,8724,48,1
593,935,38,1
392,2362,40,1
1699,9189,48,1
419,4667,45,1
289,3915,29,0
379,346,36,1
1797,2529,2,1
1514,9282,41,1
231,9218,18,0
1018,5387,49,1
41,2707,8,0
1052,9366,15,1
135,6030,41,1
201,4122,17,0
1864,4884,23,1
780,6717,2,0
930,3251,6,0
1057,5680,29,1
1072,7154,27,1
503,7806,37,1
407,7719,49,1
1598,4673,34,1
1752,3591,18,1
805,806,42,1
99,7097,10,0
684,5333,38,1
1896,9045,44,1
726,5855,17,0
1571,7060,13,1
961,8879,48,1
1763,1434,42,1
613,5688,27,0
1967,1947,2,1
1486,6951,34,1
643,7311,31,1
1793,7965,23,1
1029,3417,7,1
1242,6911,38,1
503,264,33,1
767,7160,12,0
398,3157,45,1
871,4528,12,0
795,502,19,0
393,8705,9,0
207,8336,10,0
1039,6449,17,1
1882,4257,40,1
1578,967,39,1
892,8310,41,1
1485,464,10,1
1715,7567,12,1
1599,6671,15,1
864,679,31,1
743,7774,15,0
1265,8837,28,1
564,6568,4,0
1021,4250,36,1
96,3139,1,0
1924,4237,44,1
1758,552,34,1
485,6637,47,1
1431,1481,17,1
231,8254,39,1
749,1567,38,1
1679,2838,44,1
1195,7672,33,1
541,9508,21,0
1060,6847,26,1
525,980,46,1
1184,3249,36,1
1863,8376,5,1
1723,7992,33,1
1267,4244,1,1
1110,1268,6,1
1820,3229,37,1
578,3745,2,0
682,2626,5,0
557,3616,26,0
1598,3467,41,1
1977,7438,47,1
1013,3655,13,1
646,5211,12,0
796,6852,5,0
1052,545,2,1
1644,6464,4,1
1580,3726,27,1
1364,4116,10,1
1822,3975,13,1
1982,5597,44,1
1355,6338,2,1
1664,361,26,1
1530,5092,15,1
1372,4125,46,1
1497,8383,10,1
1255,4322,22,1
190,4275,40,1
1249,9274,25,1
1409,3543,15,1
1401,5111,13,1
1307,793,8,1
1982,8447,21,1
633,1912,21,0
628,5824,22,0
973,1507,46,1
1769,8132,33,1
1283,9508,45,1
1383,1510,27,1
710,3597,40,1
1480,4472,22,1
1435,7494,30,1
649,651,9,0
318,9468,45,1
1701,4432,35,1
1249,1097,18,1
1843,4176,42,1
1258,6199,5,1
684,5655,27,0
664,4152,6,0
1999,5403,32,1
1851,8218,8,1
1398,6202,39,1
1696,5590,21,1
1632,8664,18,1
1496,5716,14,1
1257,2348,15,1
1716,948,42,1
1137,6454,26,1
1854,8795,44,1
1521,8170,32,1
442,8994,39,1
564,3725,28,0
1292,414,39,1
1534,2476,43,1
1831,9332,32,1
1410,4478,13,1
1411,8549,15,1
1137,674,18,1
1637,9844,39,1
1649,5685,6,1
952,5592,11,0
1105,9049,32,1
699,2910,40,1
113,8234,20,0
2,9396,33,1
642,5770,40,1
220,7815,8,0
1590,6667,35,1
855,3559,5,0
1760,6217,35,1
1249,4092,47,1
385,7937,14,0
1427,303,21,1
1662,2875,47,1
1154,2092,24,1
1077,2343,17,1
1708,8598,18,1
730,1787,34,1
1696,4209,12,1
1734,1960,16,1
1440,5276,4,1
247,822,25,0
836,9071,34,1
1463,8820,28,1
203,4993,46,1
1208,443,11,1
123,5498,13,0
401,8500,31,1
767,4836,25,0
294,3506,39,1
280,9603,10,0
1861,1019,24,1
884,5919,1,0
1634,2144,25,1
198,518,28,0
982,1849,36,1
1931,7478,18,1
1535,1199,6,1
752,3492,2,0
144,2872,3,0
609,6884,46,1
1225,1645,8,1
1148,1170,31,1
187,6622,48,1
1350,1950,19,1
464,5153,6,0
1373,3039,14,1
1795,7294,3,1
660,5951,48,1
764,6773,1,0
955,778,44,1
1956,1088,30,1
403,9899,46,1
1370,1602,19,1
1987,1889,19,1
1535,5381,9,1
147,5127,7,0
1172,1525,46,1
864,6754,37,1
1735,2540,41,1
1844,6956,7,1
489,7467,9,0
929,9570,4,0
1960,2694,25,1
1664,4789,49,1
551,2536,12,0
338,5617,6,0
872,9319,18,0
641,6410,40,1
1803,3639,21,1
1977,3583,15,1
473,7471,3,0
1970,2341,2,1
151,6478,41,1
1439,2865,40,1
1322,9465,4,1
1635,5011,32,1
263,503,2,0
1788,3482,46,1
144,4263,29,0
346,7730,2,0
624,187,34,1
1017,9450,27,1
1596,5916,39,1
881,5570,44,1
2,6376,38,1
897,5839,18,0
1328,4373,36,1
254,9673,19,0
1676,6623,27,1
453,5103,45,1
1061,8138,20,1
1184,6706,21,1
1015,2164,23,1
9,5415,30,0
1257,417,25,1
1123,1602,31,1
1683,6230,27,1
816,7519,34,1
208,2142,8,0
1155,4698,19,1
404,218,41,1
152,809,26,0
54,3657,28,0
1144,3350,4,1
1697,8161,31,1
1944,8709,16,1
628,2703,10,0
587,1201,38,1
1649,4521,48,1
1992,7957,10,1
1444,8277,45,1
1446,6182,9,1
104,6758,39,1
1876,2361,36,1
254,8121,36,1
1251,608,19,1
1136,2479,19,1
510,8979,12,0
1497,4852,13,1
99,9584,25,0
153,5595,36,1
1885,3309,25,1
914,7498,28,0
1920,6843,42,1
878,5748,39,1
338,5271,30,0
1730,7990,5,1
822,424,17,0
1187,3657,18,1
1744,3687,43,1
957,251,47,1
1705,1054,21,1
161,4454,22,0
1604,7260,39,1
801,9483,6,0
398,787,16,0
1301,8601,2,1
816,9794,1,0
1940,3227,30,1
1528,6863,43,1
1920,3495,37,1
1416,9105,48,1
1159,945,23,1
1219,1264,1,1
401,6004,19,0
640,5460,46,1
1057,454,3,1
688,1972,2,0
460,2124,37,1
955,2917,17,0
1907,3932,28,1
470,8357,18,0
1399,2681,33,1
1046,9682,15,1
750,9422,22,0
1694,2586,41,1
38,9126,27,0
230,8518,37,1
1389,2543,32,1
563,9019,45,1
438,1136,19,0
1800,8784,28,1
1307,7535,28,1
27,1648,10,0
226,9435,20,0
1301,5165,25,1
798,6596,21,0
1633,6283,14,1
284,4057,22,0
879,3507,26,0
960,739,44,1
1505,272,11,1
453,5766,7,0
1020,4454,17,1
1853,4059,18,1
816,8808,7,0
659,8814,20,0
1540,2986,38,1
547,2264,11,0
1216,4045,44,1
1073,5335,16,1
1536,7846,27,1
17,2690,11,0
1196,7854,16,1
1244,5034,23,1
158,4176,12,0
477,5285,40,1
1070,1193,3,1
1397,3980,2,1
518,6659,38,1
99,2885,48,1
1916,6165,24,1
1769,6639,29,1
1061,1674,47,1
280,5776,46,1
1373,8160,34,1
497,4090,20,0
302,5310,18,0
181,4945,14,0
607,9385,18,0
1123,1289,2,1
700,2789,1,0
993,4195,20,0
1140,1975,34,1
191,7868,41,1
253,3506,41,1
981,4032,48,1
928,9899,11,0
1185,8340,27,1
1280,5508,23,1
1347,3961,38,1
128,7506,44,1
18,2933,3,0
1817,5385,12,1
1759,9689,30,1
566,7745,31,1
570,9123,23,0
1347,4877,1,1
1896,2835,41,1
686,8373,20,0
1816,8378,6,1
626,6468,11,0
1312,921,35,1
1967,7625,4,1
854,262,29,0
1687,7877,10,1
962,2032,29,0
1663,3635,38,1
155,6056,1,0
490,3546,40,1
1410,2890,8,1
785,2807,38,1
1128,8059,17,1
1953,4033,19,1
1417,3485,33,1
1835,6736,15,1
246,1022,45,1
1200,8189,31,1
1063,9874,21,1
1501,664,3,1
1706,3358,2,1
759,2600,35,1
538,4666,41,1
1891,9279,16,1
1842,6981,45,1
921,3736,21,0
408,6130,12,0
525,323,28,0
828,6397,12,0
1530,450,33,1
903,7414,20,0
1849,2028,40,1
36,7843,49,1
685,8640,21,0
20,4832,39,1
321,1117,41,1
1800,2326,49,1
512,7306,42,1
400,7270,36,1
654,6307,22,0
972,2519,26,0
1907,6340,7,1
471,1993,7,0
1167,5422,8,1
1116,7818,26,1
1378,6978,24,1
834,1225,24,0
1824,3217,40,1
727,4261,48,1
1983,4142,12,1
854,4533,47,1
51,8738,8,0
1689,2758,9,1
1722,3583,3,1
575,3044,21,0
1214,7310,31,1
1149,7753,48,1
150,8887,47,1
314,2086,24,0
570,1174,4,0
1366,4405,20,1
305,3107,16,0
1716,1069,10,1
682,8872,43,1
838,2924,26,0
1807,1311,29,1
1078,329,5,1
1003,4384,11,1
444,3285,29,0
613,601,45,1
993,148,15,0
264,3666,6,0
1077,3155,48,1
1596,8980,15,1
1004,486,43,1
1644,1069,20,1
5,9297,34,1
1127,5920,2,1
1220,3152,44,1
774,7497,16,0
877,2402,19,0
992,2383,34,1
884,9899,49,1
1374,4466,14,1
47,222,24,0
867,6899,28,0
823,9572,48,1
936,3827,32,1
1844,8550,37,1
656,9239,10,0
269,5058,49,1
370,624,45,1
636,9179,48,1
1130,8499,9,1
1694,248,24,1
1683,8101,36,1
657,537,29,0
120,3849,29,0
831,8286,48,1
1811,4553,23,1
1628,5436,27,1
1082,4651,31,1
1975,2923,43,1
1370,5828,7,1
741,8777,49,1
1498,8491,45,1
117,2082,4,0
1854,7096,14,1
791,9763,42,1
1151,2411,42,1
1417,7325,10,1
1932,9813,44,1
1013,704,34,1
1665,8275,26,1
1082,5885,23,1
634,9709,9,0
513,4697,37,1
1775,7859,8,1
802,7632,14,0
1120,8840,7,1
1662,938,7,1
1142,3915,9,1
560,947,3,0
1625,4809,14,1
488,4607,17,0
1261,6675,44,1
1909,4873,22,1
897,4568,46,1
1296,5292,26,1
1213,3420,28,1
704,4798,45,1
1471,4411,14,1
581,3773,9,0
790,1664,26,0
861,1940,2,0
247,6158,11,0
1987,7231,17,1
1100,826,34,1
154,9536,19,0
1680,6797,39,1
1459,9357,18,1
997,382,13,0
1110,1181,5,1
697,3985,23,0
1309,2981,24,1
1998,3070,29,1
1244,9444,48,1
1093,7085,47,1
1071,1047,8,1
1009,4860,26,1
94,166,15,0
1774,8928,1,1
958,8605,28,0
1012,664,49,1
453,9893,47,1
1228,9117,46,1
912,3770,14,0
218,9317,42,1
474,2351,34,1
432,904,31,1
341,4731,6,0
551,9683,49,1
1636,1335,5,1
1313,6820,31,1
1278,7006,37,1
1758,6116,15,1
357,3649,15,0
23,8038,43,1
1786,4241,5,1
522,7066,28,0
1782,9646,33,1
1861,5435,11,1
1124,5177,43,1
802,5711,6,0
1204,8189,23,1
1247,2992,40,1
1930,5677,2,1
762,3718,15,0
1683,1659,23,1
442,6783,22,0
1632,1607,9,1
769,2163,47,1
1016,3742,40,1
1349,2100,30,1
516,1394,16,0
1040,4165,46,1
792,8114,47,1
336,1703,30,0
1783,1422,45,1
258,6056,9,0
497,2541,1,0
896,1198,38,1
160,5173,8,0
1499,9797,18,1
852,9418,27,0
1688,8588,18,1
1932,3887,32,1
690,2196,49,1
1699,2308,32,1
380,6088,48,1
1569,275,45,1
1953,7269,36,1
957,6114,36,1
691,1767,21,0
1451,8967,46,1
1637,1923,32,1
1292,5247,31,1
1859,1456,37,1
1601,3172,16,1
1441,3359,46,1
1192,6299,46,1
1866,646,14,1
1067,5331,24,1
1580,8065,25,1
285,2183,46,1
397,2140,35,1
12,4634,17,0
1631,1852,46,1
1326,9907,42,1
1922,1949,45,1
1277,2742,4,1
499,1700,11,0
754,4502,47,1
35,3899,15,0
727,718,30,0
849,1232,24,0
90,5591,2,0
776,5895,43,1
605,7733,34,1
1946,1587,23,1
970,7948,31,1
1626,5109,37,1
1022,9849,13,1
418,2213,33,1
115,1144,7,0
617,2531,32,1
1927,8079,7,1
1220,1682,42,1
826,1408,38,1
1525,5017,44,1
1650,8893,13,1
1517,1720,24,1
1099,7603,28,1
413,4866,32,1
1400,5462,43,1
1444,5292,18,1
729,6722,34,1
1301,6193,48,1
1021,6804,34,1
761,200,38,1
676,6757,1,0
1418,5975,43,1
1893,4371,42,1
457,337,31,1
920,7326,1,0
192,8132,16,0
739,5318,39,1
1713,4125,15,1
1123,6173,33,1
1572,2642,23,1
978,1637,41,1
1009,854,34,1
96,7496,17,0
1688,7923,25,1
663,5607,42,1
1214,4335,6,1
1760,640,31,1
37,5610,5,0
1804,8561,40,1
1393,8026,40,1
1719,5231,30,1
1549,8797,5,1
279,1229,12,0
217,3245,7,0
867,8653,45,1
873,3820,13,0
1822,9748,49,1
1297,4167,4,1
1905,4295,42,1
62,9973,3,0
596,9344,12,0
1904,7381,1,1
729,2609,27,0
1366,5116,43,1
397,6633,13,0
699,4827,17,0
1043,781,8,1
177,4032,32,1
1636,5660,20,1
396,4116,17,0
445,7439,34,1
1257,819,35,1
1939,174,35,1
76,9585,38,1
265,4257,42,1
455,8611,24,0
1820,2249,18,1
718,9744,46,1
735,9847,48,1
1408,6813,39,1
1588,4307,33,1
851,7241,49,1
1530,8752,23,1
1391,9178,25,1
144,4036,37,1
885,9407,27,0
1093,1175,1,1
1123,3976,21,1
396,4715,49,1
1049,7365,10,1
948,6479,31,1
891,9218,44,1
1493,4752,25,1
1508,6892,20,1
1589,9347,2,1
1175,7556,48,1
1168,4774,15,1
569,641,28,0
1063,2261,13,1
109,2351,14,0
1717,9344,2,1
1066,4669,34,1
1210,2844,35,1
935,6141,37,1
398,4775,25,0
1247,1660,48,1
634,1264,15,0
1157,5519,12,1
1187,2822,9,1
1239,570,31,1
733,9708,14,0
235,1568,29,0
1867,8025,48,1
658,908,43,1
751,8463,38,1
588,6819,42,1
1033,5173,8,1
1098,8112,48,1
954,1745,3,0
492,8349,2,0
913,1229,16,0
1277,1453,19,1
1254,867,30,1
1543,3995,41,1
1198,8974,16,1
1677,3554,31,1
1192,7429,28,1
170,1890,4,0
1417,9769,10,1
946,985,45,1
795,7834,18,0
634,4006,47,1
1218,4592,32,1
1541,9830,30,1
29,2173,36,1
1189,412,9,1
1446,6369,36,1
339,5417,29,0
1672,910,16,1
1520,6941,28,1
1389,2132,21,1
1857,9799,47,1
1366,7229,2,1
500,2805,46,1
1681,8888,35,1
511,2247,28,0
1351,715,36,1
217,1047,31,1
1325,5777,33,1
1156,4751,23,1
1828,7966,41,1
1094,2113,17,1
1276,3797,46,1
1439,590,49,1
1811,4450,1,1
445,2528,42,1
876,5087,23,0
1206,8833,48,1
167,9579,27,0
91,9925,25,0
714,5020,32,1
1882,3026,19,1
1555,9644,24,1
39,7382,3,0
1150,4476,12,1
1475,9590,35,1
173,4968,15,0
653,7086,17,0
754,6962,32,1
1244,4523,7,1
1662,6970,19,1
1082,8259,7,1
1684,2173,5,1
476,6270,40,1
456,801,21,0
829,8213,48,1
895,6925,48,1
1385,7967,47,1
1959,4364,7,1
1025,8068,37,1
387,8246,23,0
1997,7876,11,1
348,8658,10,0
190,8819,21,0
505,4986,41,1
1215,4035,33,1
1532,4719,20,1
1393,5291,33,1
1433,6975,40,1
824,7956,35,1
929,5501,34,1
934,3122,36,1
1141,5838,27,1
134,6084,19,0
58,1870,43,1
1580,9089,5,1
685,3315,29,0
672,6794,10,0
173,3076,40,1
1853,3837,13,1
815,852,29,0
1173,1492,5,1
80,6889,12,0
886,777,13,0
1237,205,22,1
203,4853,40,1
764,2046,15,0
1253,5644,13,1
1700,1195,1,1
1251,7085,38,1
1683,1882,43,1
1556,4641,45,1
1465,3357,1,1
1426,6313,11,1
47,4969,43,1
1257,1661,40,1
1329,4106,22,1
1550,9967,35,1
1167,9414,44,1
1439,4081,6,1
1537,9593,28,1
1397,5782,31,1
1590,5882,8,1
1910,1043,5,1
1283,4650,42,1
656,9237,48,1
471,700,44,1
1977,6476,17,1
971,9709,38,1
1036,1624,9,1
1354,3866,10,1
736,350,20,0
784,9836,14,0
968,178,14,0
358,3223,26,0
972,9189,29,0
1432,7164,49,1
668,8517,27,0
373,1309,25,0
1032,5253,16,1
1146,4998,36,1
1372,2278,34,1
676,7710,16,0
90,8995,33,1
1672,2644,3,1
698,5622,23,0
1340,2470,11,1
1202,3381,48,1
540,4810,18,0
732,428,47,1
869,5679,41,1
41,4328,44,1
740,6894,29,0
1728,220,5,1
1947,6849,24,1
502,1064,29,0
959,4324,29,0
1169,3775,26,1
1225,5794,40,1
929,2176,3,0
1748,6965,2,1
461,5743,25,0
732,8624,19,0
752,5349,40,1
925,1416,2,0
909,1296,19,0
1582,3270,1,1
1571,9721,27,1
1277,455,45,1
390,9818,49,1
1618,128,35,1
883,1113,41,1
256,9119,5,0
709,2124,38,1
1839,8590,4,1
1945,5939,17,1
450,5891,21,0
10,854,48,1
824,9061,31,1
798,3835,48,1
1266,1338,22,1
1275,2006,11,1
877,7499,34,1
1029,8061,49,1
1143,9856,15,1
1016,9510,10,1
1825,4701,38,1
374,9649,32,1
1089,1560,48,1
146,7769,31,1
224,1516,37,1
1263,7866,44,1
177,1528,28,0
1803,4478,31,1
853,7629,6,0
1306,4574,14,1
63,3171,23,0
1241,655,16,1
1878,8647,25,1
827,1663,39,1
795,1140,2,0
689,2786,38,1
1485,2653,41,1
1953,1879,39,1
1634,175,34,1
105,4426,40,1
1123,5935,43,1
511,5157,25,0
385,2449,36,1
405,2873,16,0
823,2362,18,0
518,3329,13,0
476,492,37,1
709,1208,27,0
1887,4462,34,1
1669,5288,11,1
1894,8902,1,1
771,5157,13,0
1461,4098,30,1
1047,8964,5,1
997,6666,18,0
1589,3777,14,1
677,5896,13,0
714,6463,32,1
1482,8223,7,1
83,8322,8,0
1169,7790,7,1
1109,1500,49,1
1102,4171,16,1
457,8908,43,1
1902,2886,31,1
1,7269,27,0
51,970,33,1
685,4296,29,0
717,9704,8,0
1796,2839,33,1
1470,1040,41,1
449,440,19,0
881,7522,21,0
488,4233,41,1
1824,759,21,1
34,9852,25,0
1372,3557,42,1
95,9948,23,0
1096,3075,11,1
1575,9341,33,1
154,553,20,0
250,9996,25,0
674,8284,26,0
438,5542,40,1
118,918,12,0
771,4968,32,1
1915,112,33,1
1330,7827,10,1
268,1020,4,0
1985,5020,15,1
1078,2518,6,1
236,9606,27,0
389,6575,5,0
990,2117,5,0
1758,8057,18,1
763,9520,28,0
1849,4892,35,1
401,6930,22,0
624,2534,34,1
767,2968,4,0
1327,1538,18,1
919,3643,41,1
1231,1881,26,1
1253,6443,42,1
853,2363,22,0
1934,311,47,1
578,8799,33,1
75,6259,43,1
435,7127,14,0
103,431,31,1
1446,6960,10,1
1728,8144,24,1
764,8269,21,0
738,8842,48,1
806,5820,8,0
1330,9233,32,1
98,827,31,1
1874,5075,34,1
798,3343,23,0
1359,748,25,1
859,5195,7,0
435,6714,19,0
447,7235,7,0
1332,1109,47,1
249,1650,8,0
166,9095,14,0
1505,7592,1,1
984,3501,13,0
1359,7547,3,1
1020,5524,28,1
542,4341,38,1
759,3261,15,0
1130,4255,36,1
1587,7578,3,1
81,8819,4,0
133,9315,5,0
797,6717,26,0
900,5760,25,0
138,8724,10,0
184,1276,8,0
1425,8056,12,1
1354,8692,3,1
785,2333,27,0
1532,4800,23,1
1876,6006,40,1
984,7960,33,1
69,7626,14,0
546,5659,23,0
1798,6832,31,1
53,2613,13,0
1474,7930,12,1
205,7044,35,1
126,8010,18,0
1771,5749,21,1
43,1196,45,1
1776,9220,47,1
1995,2051,42,1
1907,9846,1,1
111,9286,38,1
761,7899,41,1
1687,8904,42,1
1207,695,47,1
848,7975,9,0
95,9133,23,0
1995,4539,14,1
1398,6072,11,1
1936,958,7,1
1544,5619,31,1
900,7485,24,0
360,8736,26,0
900,4417,30,0
1720,3554,34,1
281,1130,46,1
1219,9587,38,1
1888,8006,5,1
1219,1547,5,1
667,2950,19,0
93,8206,38,1
672,7251,28,0
1970,9603,26,1
61,7052,42,1
634,4155,23,0
1075,5502,46,1
1427,9381,49,1
1813,1772,30,1
1029,4632,3,1
1490,5024,28,1
604,6185,33,1
682,7834,42,1
1853,4964,3,1
534,9416,5,0
1429,1321,19,1
838,2960,42,1
1537,8528,48,1
645,9436,1,0
233,3353,38,1
524,3882,9,0
346,7057,5,0
1070,866,46,1
546,2781,42,1
1969,7810,34,1
1102,7582,37,1
1754,5186,33,1
1837,8064,25,1
1947,2765,42,1
1097,3613,29,1
794,595,25,0
249,5922,9,0
47,2172,3,0
1145,7895,15,1
214,8629,4,0
239,4049,45,1
1080,6133,38,1
350,8428,20,0
107,2655,49,1
831,6470,23,0
48,4515,37,1
1597,6059,47,1
337,9207,8,0
1050,6093,37,1
804,5121,45,1
1281,3007,33,1
8,3014,33,1
625,3970,7,0
1891,9290,22,1
1277,5185,5,1
1716,6646,46,1
719,495,15,0
303,1038,21,0
639,9928,25,0
56,2610,17,0
726,4736,7,0
526,1749,19,0
474,3790,7,0
28,3535,40,1
78,3301,45,1
1240,4279,24,1
1410,8505,11,1
365,3337,41,1
666,3962,1,0
526,158,32,1
699,5038,40,1
1336,3071,44,1
883,9819,2,0
1031,8414,15,1
1027,9728,21,1
1647,9454,24,1
919,3445,17,0
750,2586,47,1
363,661,9,0
1775,4081,35,1
1532,6361,20,1
1298,1837,19,1
1530,9196,18,1
806,3654,20,0
739,9226,30,0
1907,7195,40,1
1039,8366,1,1
1216,394,24,1
1655,8312,24,1
485,9330,47,1
28,5430,19,0
714,4755,30,0
1063,1209,26,1
1977,3871,42,1
1297,8663,44,1
1255,6223,38,1
86,7747,29,0
1498,1274,13,1
126,1264,4,0
812,9384,45,1
537,9575,17,0
145,9137,33,1
1549,8812,5,1
1236,4566,28,1
25,5638,24,0
1604,7211,17,1
1418,8534,39,1
67,2900,48,1
233,4707,40,1
109,7362,44,1
1170,1641,46,1
111,2865,11,0
228,4591,12,0
111,3183,13,0
1494,5456,8,1
34,1957,1,0
623,869,9,0
1800,1522,28,1
1960,8698,2,1
1393,3072,14,1
748,1972,13,0
595,5699,48,1
1578,2369,2,1
425,5375,4,0
613,4849,12,0
1542,6671,48,1
692,9473,10,0
1306,5172,3,1
1344,9731,4,1
1762,5563,6,1
1467,7550,23,1
1976,8520,5,1
315,4059,3,0
877,1413,10,0
1990,7947,43,1
1765,1170,19,1
1401,9266,14,1
1313,3385,21,1
1461,9049,43,1
662,3195,28,0
277,420,21,0
1734,2421,36,1
1606,655,24,1
1527,5039,38,1
624,5532,17,0
516,1486,22,0
1374,4863,19,1
843,6954,45,1
1470,7737,10,1
1854,4941,11,1
350,3967,38,1
1631,3893,2,1
1688,7473,33,1
823,2613,43,1
1161,3903,31,1
759,2427,48,1
899,8909,35,1
243,2265,37,1
543,3408,47,1
1064,6552,47,1
229,8167,36,1
548,7742,23,0
920,6504,36,1
1247,1092,40,1
6,5524,39,1
1346,9669,26,1
468,4481,25,0
1756,3274,17,1
75,4882,15,0
4,9597,37,1
1871,5660,45,1
646,7560,4,0
118,3178,22,0
881,3083,17,0
1630,7359,22,1
504,6154,17,0
947,2623,14,0
574,9777,14,0
1465,4681,17,1
194,5709,8,0
847,2101,34,1
715,1487,26,0
1416,6652,45,1
1050,1130,30,1
1459,1320,22,1
173,6135,16,0
1324,9910,30,1
1669,9555,16,1
326,6623,38,1
1434,8174,24,1
1142,9163,36,1
836,934,35,1
1811,9210,6,1
724,1824,4,0
225,6698,18,0
532,2513,6,0
113,9605,26,0
140,6093,37,1
559,4598,27,0
1,2205,41,1
90,2668,11,0
654,9430,38,1
320,309,16,0
1574,9356,19,1
1829,5011,43,1
1918,2320,15,1
139,333,26,0
1535,892,41,1
1892,3210,31,1
845,2266,19,0
259,8626,24,0
1697,9651,9,1
902,5293,23,0
690,1314,4,0
10,4519,10,0
261,7414,9,0
1943,8575,19,1
1674,312,15,1
172,1758,34,1
898,5124,42,1
13,9709,19,0
1192,6017,49,1
1666,5241,21,1
1620,1894,34,1
321,6088,17,0
1343,8396,18,1
1637,5678,17,1
329,5651,2,0
785,3945,1,0
777,7006,43,1
1995,478,10,1
911,3393,37,1
1944,3429,48,1
1574,4908,5,1
1443,8037,12,1
1630,324,36,1
1119,837,31,1
1841,335,38,1
1605,811,9,1
318,6088,44,1
1980,1988,26,1
236,7273,15,0
1970,1359,16,1
334,5346,13,0
1909,7371,25,1
376,848,30,0
1483,3651,7,1
1161,6500,4,1
1954,6743,43,1
588,8801,40,1
1571,1923,38,1
513,6952,30,0
1320,7877,10,1
1344,4332,30,1
918,6619,39,1
1596,1877,7,1
1856,1322,36,1
1373,7730,35,1
1864,1877,24,1
1803,9596,39,1
873,7590,36,1
1253,4959,45,1
270,8993,20,0
1852,8218,49,1
798,3089,32,1
1315,8443,39,1
725,1425,49,1
1189,9593,26,1
5,5227,26,0
851,9098,36,1
1403,2822,43,1
78,4756,35,1
1434,1425,43,1
574,4233,35,1
132,9451,12,0
601,2969,33,1
1773,1342,36,1
1066,8639,14,1
89,1931,33,1
402,1669,46,1
296,7346,45,1
1864,2018,45,1
1319,6516,24,1
616,3332,15,0
1550,3858,31,1
800,6097,17,0
1715,2455,12,1
1661,9689,22,1
422,1924,23,0
1889,7380,26,1
1047,4160,14,1
575,5424,12,0
143,504,4,0
993,1821,46,1
665,5416,13,0
145,3945,18,0
1249,4310,43,1
1007,164,28,1
503,9591,38,1
1986,6482,41,1
1998,9707,44,1
821,1068,19,0
1640,468,46,1
104,8524,47,1
1971,2342,43,1
1063,5102,38,1
1971,3183,46,1
198,8173,3,0
1670,9212,19,1
579,8980,20,0
391,1569,25,0
1203,4825,11,1
1992,4359,17,1
554,3722,49,1
1472,923,35,1
1524,3531,14,1
1039,6628,39,1
1647,4251,19,1
1693,4313,3,1
